iter	Passed	Remaining
0	39	39750
1	56	28326
2	71	23754
3	85	21264
4	99	19753
5	111	18498
6	124	17663
7	136	16950
8	148	16306
9	159	15777
10	170	15374
11	182	15047
12	194	14732
13	205	14493
14	217	14252
15	228	14068
16	239	13872
17	251	13703
18	263	13588
19	274	13467
20	286	13340
21	298	13275
22	309	13138
23	320	13036
24	331	12926
25	342	12830
26	353	12737
27	364	12652
28	375	12585
29	387	12518
30	398	12460
31	409	12395
32	420	12333
33	432	12275
34	443	12221
35	455	12185
36	466	12133
37	477	12078
38	488	12029
39	498	11974
40	510	11929
41	521	11885
42	532	11844
43	543	11803
44	554	11759
45	565	11718
46	576	11679
47	586	11641
48	598	11613
49	608	11567
50	619	11533
51	631	11509
52	643	11490
53	654	11460
54	665	11428
55	676	11398
56	687	11377
57	699	11355
58	710	11335
59	721	11305
60	732	11275
61	743	11252
62	755	11230
63	765	11197
64	776	11173
65	788	11154
66	800	11145
67	811	11128
68	823	11112
69	835	11103
70	847	11095
71	860	11089
72	871	11070
73	883	11051
74	894	11037
75	906	11026
76	918	11014
77	931	11015
78	944	11014
79	956	11004
80	968	10991
81	979	10967
82	990	10947
83	1001	10920
84	1012	10898
85	1023	10877
86	1033	10850
87	1047	10853
88	1062	10875
89	1073	10858
90	1085	10841
91	1095	10816
92	1107	10800
93	1118	10782
94	1129	10762
95	1142	10755
96	1153	10742
97	1165	10725
98	1176	10707
99	1187	10690
100	1199	10678
101	1212	10675
102	1225	10672
103	1237	10663
104	1249	10652
105	1262	10649
106	1275	10643
107	1287	10636
108	1299	10623
109	1313	10624
110	1325	10618
111	1338	10615
112	1351	10608
113	1363	10599
114	1376	10594
115	1388	10584
116	1402	10584
117	1416	10587
118	1429	10581
119	1442	10575
120	1455	10571
121	1467	10563
122	1480	10557
123	1493	10548
124	1505	10535
125	1518	10532
126	1531	10530
127	1542	10509
128	1553	10490
129	1564	10472
130	1576	10454
131	1587	10435
132	1598	10417
133	1609	10400
134	1619	10379
135	1631	10362
136	1641	10342
137	1653	10325
138	1664	10307
139	1675	10291
140	1686	10275
141	1697	10254
142	1706	10230
143	1717	10211
144	1728	10193
145	1739	10176
146	1750	10155
147	1761	10138
148	1773	10126
149	1787	10127
150	1800	10124
151	1813	10120
152	1827	10115
153	1841	10116
154	1855	10115
155	1869	10115
156	1882	10106
157	1894	10096
158	1906	10085
159	1918	10071
160	1931	10067
161	1944	10058
162	1958	10055
163	1970	10047
164	1983	10038
165	1996	10028
166	2009	10024
167	2022	10016
168	2033	10000
169	2048	10003
170	2066	10018
171	2080	10017
172	2094	10010
173	2106	10000
174	2119	9993
175	2133	9987
176	2145	9976
177	2158	9967
178	2171	9959
179	2184	9951
180	2197	9941
181	2209	9929
182	2222	9920
183	2234	9910
184	2247	9899
185	2259	9890
186	2272	9881
187	2285	9872
188	2298	9862
189	2311	9852
190	2323	9841
191	2336	9831
192	2348	9820
193	2360	9807
194	2374	9800
195	2387	9791
196	2399	9782
197	2411	9769
198	2424	9759
199	2438	9752
200	2450	9740
201	2462	9728
202	2476	9723
203	2489	9713
204	2502	9704
205	2515	9695
206	2527	9684
207	2540	9675
208	2553	9665
209	2565	9651
210	2577	9639
211	2591	9633
212	2606	9630
213	2619	9619
214	2630	9604
215	2641	9587
216	2652	9569
217	2663	9555
218	2674	9538
219	2685	9520
220	2696	9503
221	2707	9489
222	2718	9473
223	2730	9458
224	2741	9443
225	2752	9427
226	2763	9410
227	2776	9400
228	2788	9388
229	2802	9380
230	2814	9368
231	2827	9360
232	2840	9349
233	2851	9335
234	2862	9318
235	2873	9303
236	2885	9288
237	2896	9272
238	2907	9256
239	2918	9241
240	2929	9225
241	2940	9209
242	2951	9194
243	2962	9178
244	2973	9163
245	2984	9147
246	2994	9128
247	3004	9111
248	3015	9096
249	3027	9081
250	3037	9065
251	3048	9050
252	3062	9041
253	3075	9032
254	3086	9018
255	3097	9003
256	3109	8988
257	3120	8975
258	3131	8960
259	3143	8946
260	3153	8929
261	3164	8913
262	3174	8897
263	3185	8882
264	3196	8866
265	3207	8850
266	3218	8836
267	3230	8822
268	3241	8808
269	3253	8795
270	3264	8782
271	3275	8765
272	3286	8751
273	3297	8738
274	3309	8723
275	3322	8715
276	3333	8701
277	3344	8685
278	3354	8669
279	3365	8654
280	3377	8641
281	3388	8627
282	3400	8614
283	3411	8599
284	3421	8584
285	3434	8573
286	3445	8558
287	3455	8543
288	3466	8528
289	3477	8514
290	3488	8499
291	3499	8485
292	3511	8473
293	3522	8458
294	3533	8443
295	3543	8428
296	3555	8415
297	3566	8401
298	3577	8387
299	3588	8373
300	3599	8359
301	3610	8345
302	3621	8331
303	3631	8315
304	3642	8299
305	3653	8286
306	3664	8272
307	3675	8258
308	3687	8245
309	3698	8231
310	3708	8215
311	3719	8202
312	3730	8188
313	3741	8174
314	3752	8160
315	3765	8150
316	3777	8139
317	3789	8127
318	3801	8114
319	3811	8100
320	3822	8086
321	3833	8072
322	3845	8060
323	3856	8046
324	3867	8032
325	3878	8019
326	3889	8005
327	3900	7990
328	3911	7976
329	3921	7962
330	3933	7949
331	3944	7935
332	3955	7923
333	3965	7907
334	3976	7893
335	3987	7880
336	3998	7865
337	4009	7851
338	4020	7838
339	4030	7824
340	4041	7810
341	4053	7798
342	4066	7789
343	4079	7779
344	4090	7766
345	4101	7753
346	4113	7740
347	4124	7728
348	4134	7712
349	4145	7699
350	4156	7684
351	4167	7672
352	4179	7660
353	4189	7646
354	4201	7633
355	4212	7621
356	4224	7608
357	4235	7595
358	4245	7581
359	4256	7567
360	4267	7553
361	4280	7543
362	4293	7533
363	4306	7524
364	4318	7513
365	4331	7503
366	4344	7493
367	4357	7483
368	4369	7472
369	4381	7460
370	4393	7449
371	4406	7438
372	4419	7428
373	4432	7418
374	4444	7407
375	4457	7397
376	4470	7387
377	4483	7377
378	4495	7366
379	4508	7356
380	4520	7345
381	4533	7335
382	4547	7325
383	4560	7315
384	4573	7305
385	4585	7294
386	4598	7283
387	4610	7272
388	4622	7260
389	4634	7248
390	4647	7237
391	4659	7226
392	4671	7215
393	4683	7203
394	4696	7192
395	4708	7182
396	4721	7171
397	4733	7160
398	4745	7148
399	4758	7137
400	4770	7126
401	4780	7111
402	4791	7098
403	4803	7085
404	4813	7071
405	4825	7059
406	4834	7044
407	4845	7031
408	4857	7018
409	4868	7005
410	4879	6992
411	4889	6978
412	4901	6966
413	4912	6953
414	4923	6940
415	4935	6928
416	4945	6914
417	4957	6902
418	4967	6888
419	4979	6876
420	4989	6861
421	4999	6848
422	5011	6835
423	5022	6823
424	5033	6810
425	5044	6797
426	5055	6783
427	5065	6769
428	5076	6757
429	5089	6746
430	5106	6741
431	5119	6730
432	5132	6720
433	5144	6709
434	5156	6698
435	5168	6686
436	5181	6675
437	5193	6664
438	5206	6652
439	5218	6641
440	5230	6629
441	5242	6617
442	5254	6606
443	5267	6595
444	5279	6584
445	5291	6572
446	5304	6562
447	5317	6551
448	5329	6540
449	5342	6530
450	5354	6517
451	5367	6507
452	5379	6496
453	5392	6485
454	5404	6473
455	5416	6461
456	5429	6451
457	5441	6439
458	5455	6430
459	5467	6418
460	5480	6407
461	5492	6396
462	5505	6384
463	5518	6374
464	5531	6364
465	5544	6353
466	5555	6340
467	5568	6329
468	5581	6318
469	5593	6307
470	5606	6296
471	5618	6284
472	5630	6273
473	5643	6262
474	5656	6251
475	5669	6240
476	5682	6230
477	5693	6218
478	5705	6205
479	5717	6194
480	5730	6183
481	5743	6172
482	5757	6162
483	5770	6152
484	5784	6141
485	5797	6131
486	5811	6121
487	5824	6111
488	5838	6101
489	5851	6090
490	5864	6079
491	5878	6069
492	5891	6059
493	5904	6048
494	5916	6036
495	5929	6025
496	5943	6015
497	5956	6004
498	5969	5992
499	5980	5980
500	5993	5969
501	6005	5957
502	6018	5947
503	6031	5935
504	6044	5924
505	6056	5913
506	6068	5901
507	6080	5889
508	6095	5879
509	6108	5868
510	6120	5857
511	6133	5846
512	6146	5835
513	6158	5823
514	6172	5812
515	6185	5801
516	6197	5789
517	6209	5778
518	6221	5766
519	6233	5753
520	6245	5742
521	6256	5729
522	6268	5716
523	6279	5704
524	6290	5691
525	6301	5678
526	6312	5665
527	6323	5653
528	6335	5641
529	6347	5628
530	6357	5615
531	6368	5602
532	6378	5588
533	6389	5575
534	6400	5563
535	6412	5550
536	6422	5537
537	6433	5524
538	6444	5511
539	6455	5498
540	6466	5486
541	6476	5472
542	6487	5460
543	6498	5447
544	6509	5434
545	6519	5421
546	6531	5408
547	6541	5395
548	6552	5382
549	6562	5369
550	6573	5356
551	6584	5344
552	6594	5330
553	6605	5318
554	6617	5305
555	6628	5292
556	6639	5280
557	6650	5267
558	6660	5254
559	6671	5241
560	6682	5229
561	6693	5216
562	6703	5203
563	6715	5191
